"id","vid","relation","official"
v292,v1310,preq,true
v292,v3059,seq,true
v293,v292,orig,true
v295,v3433,seq,true
v298,v299,ser,true
v298,v487,char,true
v298,v1111,char,true
v298,v2047,char,true
v298,v3066,ser,true
v299,v298,ser,true
v299,v487,char,true
v299,v1111,char,true
v299,v3066,ser,true
v299,v30469,side,true
v304,v253,set,true
v304,v1186,seq,true
v304,v1895,set,true
v306,v221,set,true
v306,v308,set,true
v306,v479,char,true
v307,v308,set,true
v308,v306,set,true
v308,v307,set,true
v309,v221,char,true
v309,v479,side,true
v309,v491,side,true
v310,v828,set,true
v311,v284,ser,true
v311,v1080,char,true
v311,v1111,char,true
v311,v3100,char,true
v312,v2008,ser,true
v313,v273,char,true
v313,v314,side,true
v313,v316,alt,true
v313,v317,alt,true
v313,v331,char,true
v313,v444,char,true
v314,v313,par,true
v314,v316,par,true
v314,v317,par,true
v315,v2296,char,true
v315,v2339,char,true
v315,v14434,char,false
v315,v14435,char,false
v315,v14436,char,false
v315,v18190,char,true
v315,v39014,char,true
v316,v313,alt,true
v316,v314,side,true
v316,v317,char,true
v316,v332,char,true
v316,v408,side,true
v316,v4848,char,true
v317,v313,alt,true
v317,v314,side,true
v317,v316,char,true
v317,v332,char,true
v317,v408,side,true
v317,v4848,char,true
v318,v331,char,true
v318,v4848,char,true
v319,v99,char,true
v320,v99,par,true
v320,v264,char,true
v323,v276,char,true
v323,v947,side,true
v323,v4848,char,true
v323,v9838,preq,true
v324,v1518,side,true
v324,v2322,side,true
v324,v2323,alt,true
v324,v10708,side,true
v324,v19128,seq,true
v324,v29312,side,true
v324,v29313,side,true
v324,v50783,char,true
v326,v1104,char,true
v326,v1603,char,true
v326,v1604,char,true
v326,v14425,char,true
v328,v329,fan,true
v328,v1104,set,true
v329,v328,orig,true
v329,v1104,char,true
v331,v99,char,true
v331,v313,char,true
v331,v318,char,true
v331,v332,seq,true
v332,v264,par,true
v332,v316,char,true
v332,v317,char,true
v332,v331,preq,true
v332,v336,char,true
v334,v487,char,true
v334,v1111,char,true
v334,v6985,char,true
v336,v332,char,true
v336,v337,seq,true
v336,v408,side,true
v336,v4848,char,true
v337,v336,preq,true
v337,v407,side,true
v337,v4848,char,true
v339,v704,seq,true
v339,v2555,preq,true
v340,v347,char,true
v342,v3057,ser,true
v342,v3302,ser,true
v343,v3057,ser,true
v347,v340,char,true
v347,v6581,seq,true
v348,v2890,preq,true
v352,v3026,ser,true
v352,v18591,ser,true
v353,v354,fan,true
v353,v22753,alt,true
v354,v353,orig,true
v356,v2937,set,true
v358,v94,orig,true
v361,v1204,seq,true
v362,v363,fan,true
v362,v7410,side,false
v362,v22013,set,true
v363,v362,orig,true
v365,v366,seq,true
v366,v365,preq,true
v368,v6239,char,true
v368,v53105,char,false
v369,v979,char,true
v369,v1967,alt,true
v370,v1313,set,true
v370,v18589,seq,true
v370,v26960,alt,true
v371,v2416,char,true
v372,v451,alt,true
v372,v1475,char,true
v372,v7084,char,true
v372,v9636,char,true
v372,v49796,fan,true
v373,v374,seq,true
v374,v373,preq,true
v374,v375,seq,true
v375,v374,preq,true
v375,v376,seq,true
v376,v375,preq,true
v376,v377,seq,true
v377,v376,preq,true
v377,v383,seq,true
v379,v4392,preq,true
v380,v276,char,true
v380,v408,side,true
v382,v1646,char,true
v382,v22505,alt,true
v383,v377,preq,true
v383,v947,side,true
v383,v4848,char,true
v384,v266,par,true
v385,v1473,ser,true
v387,v5680,char,false
v387,v8245,char,false
v387,v8324,char,false
v387,v19099,ser,true
v387,v48789,char,false
v387,v56194,char,false
v388,v4057,ser,true
v394,v7659,fan,true
v396,v3346,preq,true
v396,v19452,seq,true
v397,v398,alt,true
v397,v399,fan,true
v397,v1068,set,true
v397,v1143,set,true
v397,v12481,seq,true
v397,v50458,fan,true
v398,v397,alt,true
v398,v6173,alt,true
v398,v12481,seq,true
v399,v397,orig,true
v400,v44271,alt,true
v401,v2162,side,true
v401,v5085,fan,true
v404,v93,orig,true
v405,v92,orig,true
v406,v99,char,true
v406,v276,char,true
v406,v407,side,true
v407,v78,par,true
v407,v264,par,true
v407,v266,par,true
v407,v337,par,true
v407,v406,par,true
v408,v99,par,true
v408,v264,par,true
v408,v316,par,true
v408,v317,par,true
v408,v336,par,true
v408,v380,par,true
v414,v2123,fan,true
v414,v2368,char,true
v414,v7943,fan,true
v414,v22783,char,true
v417,v596,ser,true
v417,v1027,ser,true
v417,v2390,char,true
v417,v6310,char,true
v417,v10797,fan,true
v421,v252,char,true
v421,v422,side,true
v421,v3208,seq,true
v421,v3755,char,true
v421,v17376,ser,true
v422,v421,par,true
v423,v1190,fan,true
v424,v3699,char,true
v425,v33222,side,true
v430,v2125,side,true
v432,v435,fan,true
v432,v2258,fan,true
v432,v14953,char,true
v433,v39292,char,true
v433,v46419,char,false
v434,v435,fan,true
v434,v10712,side,false
v434,v12519,fan,true
v434,v14953,char,true
v434,v16170,char,false
v435,v432,orig,true
v435,v434,orig,true
v439,v444,char,true
v440,v441,side,true
v441,v440,par,true
v442,v780,ser,true
v443,v93,char,true
v443,v94,char,true
v443,v444,char,true
v443,v32759,alt,true
v444,v45,char,true
v444,v313,char,true
v444,v439,char,true
v444,v443,char,true
v444,v509,char,true
v444,v1070,char,true
v444,v1107,char,true
v444,v4215,char,true
v444,v4572,char,true
v444,v7623,char,true
v444,v32759,char,true
v445,v647,fan,true
v446,v3,char,true
v446,v18,char,true
v446,v21,char,true
v446,v177,char,true
v446,v184,char,true
v446,v186,char,true
v446,v204,char,true
v446,v235,char,true
v446,v237,char,true
v446,v30616,char,true
v448,v6113,char,true
v448,v6307,char,true
v449,v7708,set,true
v450,v783,set,true
v450,v1086,set,true
v451,v372,alt,true
v451,v4910,char,true
v451,v7084,char,true
v451,v13717,alt,true
v451,v49796,fan,true
v452,v976,alt,true
v455,v1651,seq,true
v458,v80,char,true
v458,v166,char,true
v458,v198,char,true
v464,v16069,ser,true
v466,v52286,fan,true
v467,v469,side,true
v469,v467,par,true
v470,v10992,side,true
v470,v18189,char,true
v470,v18190,char,true
v471,v2162,side,true
v471,v5085,fan,true
v471,v11131,fan,true
v471,v13895,char,true
v473,v561,side,true
v473,v562,char,true
v473,v3144,set,true
v474,v475,seq,true
v475,v474,preq,true
v476,v477,preq,true
v477,v476,seq,true
v479,v182,char,true
v479,v306,char,true
v479,v309,par,true
v479,v491,char,true
v479,v682,char,true
v479,v683,char,true
v479,v1448,char,true
v479,v1883,char,true
v479,v2829,char,true
v479,v3984,char,true
v481,v4811,fan,true
v481,v18489,set,true
v483,v2568,fan,true
v484,v1142,preq,true
v487,v298,char,true
v487,v299,char,true
v487,v334,char,true
v487,v1111,char,true
v487,v1125,char,true
v487,v2045,alt,true
v487,v2047,preq,true
v487,v3066,char,true
v487,v4702,char,true
v487,v6458,char,true
v487,v6985,seq,true
v487,v7360,char,true
v487,v26386,char,false
v487,v31408,side,true
v487,v48266,alt,false
v488,v489,preq,true
v488,v29322,alt,true
v489,v488,seq,true
v489,v25996,alt,true
v490,v6980,char,true
v491,v182,char,true
v491,v221,par,true
v491,v309,par,true
v491,v479,char,true
v491,v682,char,true
v491,v683,char,true
v491,v1448,char,true
v491,v1883,char,true
v491,v3984,char,true
v492,v544,side,true
v494,v602,char,true
v494,v4777,char,true
v494,v7667,fan,true
v496,v2232,char,true
v498,v723,preq,true
v498,v2296,char,true
v499,v1111,char,true
v499,v49644,set,false
v499,v50041,char,false
v501,v11647,preq,true
v502,v2034,char,true
v505,v2836,set,true
v506,v580,preq,true
v507,v769,preq,true
v507,v2836,seq,true
v507,v7573,alt,true
v509,v444,char,true
v509,v15812,char,true
v511,v512,fan,true
v511,v689,set,true
v512,v511,orig,true
v514,v71,char,false
v514,v6463,char,false
v515,v564,char,true
v515,v810,seq,true
v515,v916,fan,true
v520,v3045,set,true
v523,v8006,seq,true
v524,v1496,side,true
v528,v596,fan,true
v528,v601,char,true
v528,v2390,char,true
v528,v10797,fan,true
v529,v666,char,true
v530,v1210,fan,true
v533,v5254,char,true
v536,v2651,ser,true
v538,v541,set,true
v539,v541,side,true
v540,v541,side,true
v541,v195,par,true
v541,v538,set,true
v541,v539,par,true
v541,v540,par,true
v542,v544,side,true
v543,v544,side,true
v544,v195,par,true
v544,v492,par,true
v544,v542,par,true
v544,v543,par,true
v545,v1324,set,true
v545,v1639,char,true
v545,v2878,char,true
v546,v2519,seq,true
v546,v2953,fan,true
v546,v7937,ser,true
v547,v1073,ser,true
v547,v2968,char,true
v548,v1951,ser,true
v548,v5844,set,true
v548,v18685,side,true
v548,v32116,alt,true
v549,v8781,alt,true
v550,v174,set,true
v551,v10541,seq,true
v553,v554,side,true
v554,v553,par,true
v556,v1356,char,true
v556,v1357,ser,true
v556,v1543,char,true
v556,v2186,char,false
v556,v5857,char,false
v556,v43243,char,true
v557,v770,preq,true
v561,v473,par,true
v562,v473,char,true
v562,v3144,ser,true
v562,v20431,seq,true
v562,v60562,fan,true
v564,v515,char,true
v564,v916,fan,true
v565,v821,set,true
v566,v1372,char,true
v566,v1373,char,true
v567,v601,char,true
v568,v1046,seq,true
v568,v6616,preq,true
v572,v82,char,true
v572,v577,char,true
v572,v11443,side,true
v573,v576,fan,true
v575,v577,char,true
v575,v11444,side,true
v576,v573,orig,true
v577,v82,char,true
v577,v572,char,true
v577,v575,char,true
v578,v2434,char,true
v580,v278,preq,true
v580,v506,seq,true
v581,v1143,char,true
v581,v20012,char,true
v583,v197,preq,true
v584,v6660,set,false
v585,v4776,set,true
v587,v6310,char,true
v589,v590,char,true
v590,v28,char,true
v590,v589,char,true
v590,v617,char,true
v591,v179,orig,true
v592,v35,orig,true
v593,v601,char,true
v594,v601,char,true
v595,v601,char,true
v596,v417,ser,true
v596,v528,orig,true
v597,v601,char,true
v598,v601,char,true
v599,v601,char,true
v600,v601,char,true
v601,v528,char,true
v601,v567,char,true
v601,v593,char,true
v601,v594,char,true
v601,v595,char,true
v601,v597,char,true
v601,v598,char,true
v601,v599,char,true
v601,v600,char,true
v602,v494,char,true
v602,v4777,char,true
v602,v5097,char,true
v602,v7668,fan,true
v603,v158,preq,true
v603,v10839,seq,true
v604,v16151,char,true
v607,v1653,seq,true
v607,v7955,set,true
v607,v12982,set,true
v610,v1907,side,true
v617,v590,char,true
v618,v619,preq,true
v618,v620,seq,true
