"vid","votecount","votecount_rank"
v12455,306,1050
v7260,306,1050
v10665,305,1056
v19302,304,1057
v21266,304,1057
v1290,303,1059
v24610,303,1059
v14886,303,1059
v17640,302,1062
v137,302,1062
v9935,302,1062
v3632,301,1065
v25635,301,1065
v28576,300,1067
v10597,300,1067
v33272,300,1067
v19951,300,1067
v19470,300,1067
v22760,300,1067
v115,299,1073
v2790,298,1074
v3457,298,1074
v37016,298,1074
v22310,297,1077
v21418,297,1077
v24564,297,1077
v24202,296,1080
v26639,296,1080
v24987,296,1080
v6714,296,1080
v14922,296,1080
v6341,294,1085
v24315,294,1085
v7794,294,1085
v3346,294,1085
v25784,293,1089
v893,293,1089
v12505,293,1089
v17843,293,1089
v22012,293,1089
v1953,292,1094
v19427,292,1094
v1898,292,1094
v7595,292,1094
v20689,292,1094
v16479,292,1094
v26206,291,1100
v828,291,1100
v1564,291,1100
v4707,290,1103
v13108,290,1103
v889,289,1105
v19,289,1105
v278,289,1105
v25673,289,1105
v7238,288,1109
v51437,288,1109
v18360,288,1109
v19037,287,1112
v21116,285,1113
v32789,285,1113
v7766,285,1113
v1542,285,1113
v2528,285,1113
v120,283,1118
v13188,283,1118
v10076,282,1120
v1451,281,1121
v2505,281,1121
v12414,280,1123
v28118,280,1123
v862,279,1125
v1484,278,1126
v26989,278,1126
v28619,278,1126
v20795,278,1126
v24380,278,1126
v18837,278,1126
v30029,278,1126
v25924,278,1126
v9189,277,1134
v24208,277,1134
v10231,277,1134
v21355,276,1137
v8591,276,1137
v30925,276,1137
v22008,276,1137
v22448,276,1137
v286,276,1137
v149,275,1143
v7361,275,1143
v28151,275,1143
v28666,274,1146
v20337,273,1147
v14826,273,1147
v1491,273,1147
v18738,273,1147
v20491,273,1147
v12328,273,1147
v18795,273,1147
v10983,273,1147
v8461,272,1155
v28644,272,1155
v98,272,1155
v23288,271,1158
v15458,271,1158
v7594,271,1158
v143,270,1161
v14005,269,1162
v21072,269,1162
v10972,269,1162
v22847,269,1162
v140,268,1166
v14576,268,1166
v15496,268,1166
v31567,267,1169
v843,267,1169
v547,266,1171
v8435,266,1171
v23744,266,1171
v9643,266,1171
v24626,266,1171
v7816,265,1176
v23464,265,1176
v8455,265,1176
v32745,265,1176
v17897,265,1176
v21787,265,1176
v4942,264,1182
v26316,264,1182
v20367,264,1182
v397,264,1182
v16104,264,1182
v12546,264,1182
v16915,263,1188
v38191,263,1188
v28643,263,1188
v13901,263,1188
v14910,263,1188
v10793,262,1193
v3458,262,1193
v18721,262,1193
v18783,262,1193
v1740,262,1193
v10097,261,1198
v22292,261,1198
v34839,261,1198
v24703,261,1198
v32157,260,1202
v15573,260,1202
v19914,260,1202
v19616,260,1202
v26232,260,1202
v21854,259,1207
v28400,259,1207
v21521,258,1209
v22726,258,1209
v17790,258,1209
v15231,258,1209
v26418,257,1213
v14825,257,1213
v23154,257,1213
v25914,257,1213
v19319,256,1217
v24620,256,1217
v18323,256,1217
v2635,255,1220
v33205,255,1220
v21644,255,1220
v18567,255,1220
v12034,255,1220
v22380,255,1220
v11472,254,1226
v701,254,1226
v16637,254,1226
v17716,254,1226
v9721,254,1226
v12561,253,1231
v26900,253,1231
v26448,253,1231
v22219,253,1231
v25596,253,1231
v17099,252,1236
v38013,252,1236
v14799,252,1236
v26563,251,1239
v3549,251,1239
v24399,251,1239
v125,251,1239
v1600,250,1243
v29667,250,1243
v28218,250,1243
v11301,250,1243
v24716,250,1243
v27736,249,1248
v11916,249,1248
v18990,249,1248
v7301,249,1248
v21261,248,1252
v5506,248,1252
v21405,248,1252
v20164,248,1252
v21439,248,1252
v131,247,1257
v17407,247,1257
v28712,247,1257
v734,247,1257
v24328,247,1257
v48420,246,1262
v27938,246,1262
v18130,246,1262
v315,246,1262
v15143,246,1262
v3994,245,1267
v6,245,1267
v230,245,1267
v740,245,1267
v21803,245,1267
v25236,245,1267
v14069,244,1273
v33911,244,1273
v13059,244,1273
v28126,244,1273
v29170,243,1277
v1442,243,1277
v18060,243,1277
v12407,242,1280
v33150,242,1280
v11855,242,1280
v22061,242,1280
v1371,242,1280
v26397,241,1285
v17153,240,1286
v20847,240,1286
v3371,239,1288
v32177,239,1288
v15870,238,1290
v32706,238,1290
v24779,238,1290
v25816,238,1290
v11906,237,1294
v47936,237,1294
v20406,237,1294
v12150,237,1294
v30920,237,1294
v30553,237,1294
v8524,237,1294
v50215,236,1301
v25050,236,1301
v20583,236,1301
v30793,236,1301
v17997,236,1301
v18770,236,1301
v11194,236,1301
v10041,235,1308
v16193,235,1308
v14924,235,1308
v22986,235,1308
v1755,235,1308
v8469,235,1308
v24211,235,1308
v25566,234,1315
v18814,234,1315
v222,234,1315
v46543,234,1315
v8243,234,1315
v19420,234,1315
v19042,234,1315
v26728,233,1322
v16817,233,1322
v18387,233,1322
v7625,232,1325
v20170,231,1326
v21188,231,1326
v801,231,1326
v1278,230,1329
v17564,230,1329
v602,230,1329
v15637,230,1329
v428,230,1329
v28875,229,1334
v11300,229,1334
v3091,229,1334
v9303,229,1334
v5519,229,1334
v16339,229,1334
v22186,229,1334
v14264,228,1341
v21474,228,1341
v13890,228,1341
v24555,228,1341
v41944,228,1341
v1013,228,1341
v6662,227,1347
v3892,227,1347
v36614,226,1349
v10238,226,1349
v19373,225,1351
v18739,225,1351
v30406,225,1351
v19463,225,1351
v27092,225,1351
v4118,224,1356
v696,224,1356
v18734,224,1356
v11948,224,1356
v287,224,1356
v44195,224,1356
v561,223,1362
v566,223,1362
v21232,223,1362
v887,223,1362
v9858,222,1366
v28200,222,1366
v26338,222,1366
v1434,222,1366
v12796,222,1366
v23,222,1366
v20981,221,1372
v16874,221,1372
v190,221,1372
v1085,220,1375
v793,220,1375
v18353,220,1375
v45731,220,1375
v73,220,1375
v3970,220,1375
v1438,220,1375
v13086,219,1382
v15393,219,1382
v17284,219,1382
v31083,219,1382
v20604,219,1382
v25713,219,1382
v16340,218,1388
v581,218,1388
v12214,218,1388
v17337,218,1388
v25942,217,1392
v5734,217,1392
v26796,217,1392
v16037,216,1395
v20515,216,1395
v17982,216,1395
v11986,216,1395
v27032,216,1395
v14954,216,1395
v30012,216,1395
v47547,215,1402
v122,215,1402
v20539,214,1404
v22697,214,1404
v22075,214,1404
v15417,214,1404
v7096,213,1408
v24286,213,1408
v49934,213,1408
v25368,213,1408
v648,213,1408
v12097,212,1413
v6593,212,1413
v1604,212,1413
v26419,212,1413
v1987,212,1413
v1951,212,1413
v396,211,1419
v37716,211,1419
v27152,211,1419
v1616,210,1422
v32919,210,1422
v24002,210,1422
v1063,210,1422
v34151,209,1426
v24586,209,1426
v40,209,1426
v14888,209,1426
v12914,209,1426
v16953,209,1426
v30185,209,1426
v4597,208,1433
v23985,208,1433
v25999,208,1433
v15310,208,1433
v21824,208,1433
v44184,208,1433
v12431,207,1439
v324,207,1439
v24276,207,1439
v18540,207,1439
v1648,207,1439
v25796,207,1439
v15874,207,1439
v25515,207,1439
v26010,206,1447
v30599,206,1447
v16484,206,1447
v9711,206,1447
v37172,206,1447
v10613,206,1447
v11009,205,1453
v645,205,1453
v30461,205,1453
v44200,205,1453
v33204,204,1457
v19031,204,1457
